ds,escenario_neutro,escenario_positivo,escenario_negativo
2024-01-19,1.0729158404012893,1.1265616324213539,1.0192700483812247
2024-01-22,1.0737992822038032,1.1274892463139934,1.020109318093613
2024-01-23,1.0739562152188222,1.1276540259797634,1.020258404457881
2024-01-24,1.0744953701377251,1.1282201386446113,1.0207706016308389
2024-01-25,1.0747386648319892,1.1284755980735888,1.0210017315903896
2024-01-26,1.075121648419347,1.1288777308403144,1.0213655659983798
2024-01-29,1.0756390956419568,1.1294210504240547,1.021857140859859
2024-01-30,1.075649745299617,1.1294322325645978,1.0218672580346362
2024-01-31,1.0760326474777946,1.1298342798516843,1.022231015103905
2024-02-01,1.0761111063723452,1.1299166616909626,1.0223055510537278
2024-02-02,1.0763221137267558,1.1301382194130936,1.022506008040418
2024-02-05,1.0762961313647943,1.130110937933034,1.0224813247965545
2024-02-06,1.0761219141575773,1.1299280098654563,1.0223158184496983
2024-02-07,1.0763209808074599,1.1301370298478328,1.022504931767087
2024-02-08,1.0762184720233954,1.1300293956245653,1.0224075484222255
2024-02-09,1.0762532754022744,1.1300659391723882,1.0224406116321607
2024-02-12,1.0757468464428708,1.1295341887650143,1.0219595041207272
2024-02-13,1.0754351379736196,1.1292068948723006,1.0216633810749385
2024-02-14,1.0755112914913918,1.1292868560659615,1.0217357269168221
2024-02-15,1.0753022999172135,1.1290674149130742,1.0215371849213528
2024-02-16,1.0752487868537812,1.1290112261964704,1.021486347511092
2024-02-20,1.0742874125635322,1.1280017831917089,1.0205730419353556
2024-02-21,1.0743851886844138,1.1281044481186346,1.020665929250193
2024-02-22,1.0742216782239806,1.1279327621351798,1.0205105943127815
2024-02-23,1.074237312559833,1.1279491781878248,1.0205254469318412
2024-02-26,1.0739311067919466,1.127627662131544,1.0202345514523492
2024-02-27,1.0737710533867306,1.127459606056067,1.0200825007173941
2024-02-28,1.0740390815166865,1.1277410355925208,1.0203371274408521
2024-02-29,1.0740597644248475,1.12776275264609,1.020356776203605
